City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Tuatapere,NZ,-46.1333,167.6833,37.81,91,29,3.42,scattered clouds
80,Koumac,NC,-20.5667,164.2833,67.12,68,84,13.49,broken clouds
81,Saint George,US,37.1041,-113.5841,108.63,12,1,1.01,clear sky
82,San Rafael,AR,-34.6177,-68.3301,75.33,16,6,15.05,clear sky
83,Filingue,NE,14.3521,3.3168,93.7,39,65,11.18,broken clouds
84,Castro,BR,-24.7911,-50.0119,59.02,70,100,7.43,overcast clouds
85,Whitehorse,CA,60.7161,-135.0538,66.97,68,75,4.0,light rain
86,Bethel,US,41.3712,-73.414,81.36,73,90,1.99,overcast clouds
87,Carnarvon,AU,-24.8667,113.6333,51.87,33,0,10.36,clear sky
88,Puerto Ayora,EC,-0.7393,-90.3518,80.56,85,87,5.01,overcast clouds
89,Punta Arenas,CL,-53.15,-70.9167,46.51,61,75,14.97,broken clouds
90,Uptar,RU,59.75,150.9167,41.97,64,95,8.39,overcast clouds
91,Sitka,US,57.0531,-135.33,66.09,59,90,10.36,overcast clouds
92,Maltahohe,NA,-24.8333,16.9833,54.9,25,43,7.92,scattered clouds
93,Pundaguitan,PH,6.3711,126.1689,83.62,77,100,9.13,overcast clouds
94,Thompson,CA,55.7435,-97.8558,64.56,45,75,6.91,smoke
95,Alofi,NU,-19.0595,-169.9187,64.29,94,82,1.14,broken clouds
96,Iracoubo,GF,5.4802,-53.2011,82.06,78,23,5.97,few clouds
97,Butaritari,KI,3.0707,172.7902,83.98,61,12,10.76,few clouds
98,Port Hardy,CA,50.6996,-127.4199,60.98,88,90,12.66,light intensity shower rain
99,Port Lincoln,AU,-34.7333,135.8667,54.91,73,100,7.61,overcast clouds
100,Evensk,RU,61.95,159.2333,50.85,71,98,42.57,light rain
101,Oranjestad,AW,12.524,-70.027,89.55,55,20,23.02,few clouds
102,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,78,40,10.36,scattered clouds
103,Semporna,MY,4.4818,118.6112,79.59,84,12,4.54,few clouds
104,Luzhou,CN,28.8724,105.4405,75.97,96,76,3.36,light rain
105,Algiers,DZ,36.7525,3.042,78.62,74,0,6.91,clear sky
106,Marsa Matruh,EG,31.3525,27.2453,84.4,74,0,11.5,clear sky
107,Half Moon Bay,US,37.4636,-122.4286,83.91,75,75,12.66,broken clouds
108,Mahebourg,MU,-20.4081,57.7,70.09,68,40,11.5,light rain
109,Along,IN,28.1667,94.7667,74.89,96,52,2.33,broken clouds
110,Caceres,ES,39.522,-6.3748,81.7,36,0,12.3,clear sky
111,Georgetown,MY,5.4112,100.3354,81.9,88,20,0.0,few clouds
112,Maceio,BR,-9.6658,-35.7353,78.24,73,40,12.66,scattered clouds
113,Torbay,CA,47.6666,-52.7314,78.89,42,75,9.22,broken clouds
114,Tura,IN,25.5198,90.2201,75.99,93,100,2.17,overcast clouds
115,Mogadishu,SO,2.0371,45.3438,76.5,84,100,17.07,overcast clouds
116,Varnsdorf,CZ,50.9115,14.6182,59.38,94,100,1.32,overcast clouds
117,Pevek,RU,69.7008,170.3133,37.71,97,100,4.43,overcast clouds
118,Dikson,RU,73.5069,80.5464,50.83,87,0,2.46,clear sky
119,Okhotsk,RU,59.3833,143.3,53.22,87,1,7.63,clear sky
120,Port Blair,IN,11.6667,92.75,81.86,85,100,20.27,overcast clouds
121,Nueva Loja,EC,0.0847,-76.8828,87.28,58,75,6.91,broken clouds
122,Cabo San Lucas,MX,22.8909,-109.9124,93.51,63,81,5.01,broken clouds
123,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,45.19,76,0,8.95,clear sky
124,Upernavik,GL,72.7868,-56.1549,45.18,64,0,7.38,clear sky
125,Balkhash,KZ,46.844,74.9804,74.21,43,7,15.43,clear sky
